t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
3,16,2,46,6,5,3080,8,3,7,3,6,49,9000,0,18,0
1,25,1,63,0,1,3080,8,4,8,3,6,60,12900,0,18,0
2,16,1,43,0,5,3080,5,4,8,2,6,70,10750,0,5,0
2,16,1,87,0,1,3080,6,7,6,3,6,48,0,0,7,1
2,19,1,56,0,5,3080,3,2,8,3,11,60,5000,3,5,1
2,24,1,55,0,5,3080,5,7,7,2,6,56,0,0,4,0
2,30,1,57,0,5,3080,8,2,8,3,6,70,4000,3,18,1
2,7,1,37,0,5,3080,5,2,7,2,9,49,5160,3,4,0
2,13,1,48,0,6,3080,3,7,6,3,16,48,0,0,18,1
2,30,1,27,0,1,3080,5,3,6,2,9,46,7310,0,4,0
3,12,2,78,7,4,3080,5,1,6,2,0,42,1290,2,5,0
3,20,1,37,0,5,3080,10,1,4,0,12,30,1290,0,1,1
3,11,2,56,8,4,3080,8,1,3,2,9,20,2580,0,18,1
4,13,2,49,3,5,3080,1,4,6,3,16,40,12000,0,12,1
4,14,1,67,0,5,3080,10,2,6,0,2,48,5160,0,1,1
